Game,Throw Number,From Zone,To Zone,Throwing Team,Defending Team,Release Frame,Release Time,End Frame,End Time,p_goal,thr_used,AP_binary,tp_flag,throw_uid
ISR_-_CAN_5-1,4,7 Upper,7 Lower,ISR,CAN,1029,00:42.9,1160,00:48.3,0.06314116,0.001904494,0.654979036,TRUE,ISR_-_CAN_5-1_4
ISR_-_CAN_5-1,37,2 Upper,7 Lower,ISR,CAN,9668,06:42.8,9835,06:49.8,0.9997303,0.001904494,0.654979036,FALSE,ISR_-_CAN_5-1_37
ISR_-_CAN_5-1,45,8 Upper,3 Lower,ISR,CAN,12326,08:33.6,12643,08:46.8,0.9999846,0.001904494,0.654979036,TRUE,ISR_-_CAN_5-1_45
ISR_-_CAN_5-1,100,2 Upper,6 Lower,ISR,CAN,28961,20:06.7,29268,20:19.5,0.9999844,0.001904494,0.654979036,TRUE,ISR_-_CAN_5-1_100
ISR_-_CAN_5-1,108,2 Upper,2 Lower,CAN,ISR,36644,25:26.8,36906,25:37.8,0.9999672,0.001904494,0.654979036,TRUE,ISR_-_CAN_5-1_108
ISR_-_CAN_5-1,163,9 Lower,5 Upper,ISR,CAN,55537,38:34.0,55757,38:43.2,0.124813996,0.001904494,0.654979036,TRUE,ISR_-_CAN_5-1_163
TUR_-_ISR_5-4,61,6 Lower,6 Upper,TUR,ISR,15112,10:29.7,15370,10:40.4,0.032024976,0.010823328,0.362708152,TRUE,TUR_-_ISR_5-4_61
TUR_-_ISR_5-4,77,7 Upper,4 Lower,ISR,TUR,24912,17:18.0,25054,17:23.9,0.998082995,0.010823328,0.362708152,TRUE,TUR_-_ISR_5-4_77
TUR_-_ISR_5-4,112,2 Upper,7 Upper,ISR,TUR,42122,29:15.1,42242,29:20.1,0.023867629,0.010823328,0.362708152,TRUE,TUR_-_ISR_5-4_112
TUR_-_ISR_5-4,119,8 Upper,1 Lower,TUR,ISR,47501,32:59.2,47634,33:04.7,0.999069154,0.010823328,0.362708152,TRUE,TUR_-_ISR_5-4_119
TUR_-_ISR_5-4,120,3 Lower,5 Upper,ISR,TUR,47651,33:05.5,48666,33:47.8,0.013777658,0.010823328,0.362708152,FALSE,TUR_-_ISR_5-4_120
TUR_-_ISR_5-4,136,6 Lower,6 Upper,ISR,TUR,52716,36:36.5,52845,36:41.9,0.02530016,0.010823328,0.362708152,TRUE,TUR_-_ISR_5-4_136
TUR_-_ISR_5-4,174,6 Lower,8 Upper,ISR,TUR,64348,44:41.2,64466,44:46.1,0.010824324,0.010823328,0.362708152,TRUE,TUR_-_ISR_5-4_174
TUR_-_ISR_5-4,205,6 Lower,3 Upper,ISR,TUR,75296,52:17.3,75426,52:22.8,0.011629298,0.010823328,0.362708152,TRUE,TUR_-_ISR_5-4_205
CHI_-_TUR_7-5,1,9 Upper,1 Lower,TUR,CHI,691,00:28.8,839,00:35.0,0.5485657,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_1
CHI_-_TUR_7-5,11,2 Lower,8 Upper,CHI,TUR,4567,03:10.3,4726,03:16.9,0.003895692,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_11
CHI_-_TUR_7-5,12,7 Upper,5 Lower,TUR,CHI,5450,03:47.1,5627,03:54.5,0.6473856,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_12
CHI_-_TUR_7-5,51,9 Upper,3 Lower,TUR,CHI,16074,11:09.8,16307,11:19.5,0.9979108,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_51
CHI_-_TUR_7-5,54,4 Upper,3 Lower,TUR,CHI,18411,12:47.1,18549,12:52.9,0.94311625,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_54
CHI_-_TUR_7-5,56,6 Upper,4 Lower,TUR,CHI,19269,13:22.9,19632,13:38.0,0.003958873,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_56
CHI_-_TUR_7-5,57,7 Upper,2 Lower,TUR,CHI,20327,14:07.0,20471,14:13.0,0.99670935,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_57
CHI_-_TUR_7-5,82,3 Upper,8 Lower,TUR,CHI,27622,19:10.9,27776,19:17.3,0.98983955,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_82
CHI_-_TUR_7-5,117,5 Upper,5 Lower,CHI,TUR,43924,30:30.2,44061,30:35.9,0.9980069,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_117
CHI_-_TUR_7-5,126,4 Upper,9 Lower,CHI,TUR,46258,32:07.4,46378,32:12.4,0.9911664,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_126
CHI_-_TUR_7-5,131,2 Upper,9 Lower,CHI,TUR,48812,33:53.8,49783,34:34.3,0.01143736,0.003258269,0.755320446,TRUE,CHI_-_TUR_7-5_131
ISR_-_BRA_8-4,77,7 Lower,1 Upper,ISR,BRA,18001,12:30.0,19021,13:12.5,0.017687833,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_77
ISR_-_BRA_8-4,81,7 Lower,3 Upper,ISR,BRA,20971,14:33.8,21130,14:40.4,0.001238855,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_81
ISR_-_BRA_8-4,118,3 Upper,9 Lower,BRA,ISR,33829,23:29.5,34058,23:39.1,0.996801734,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_118
ISR_-_BRA_8-4,120,8 Upper,7 Lower,BRA,ISR,34949,24:16.2,35101,24:22.5,0.999809921,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_120
ISR_-_BRA_8-4,139,7 Lower,1 Upper,ISR,BRA,43673,30:19.7,43812,30:25.5,0.999890089,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_139
ISR_-_BRA_8-4,172,8 Lower,5 Upper,ISR,BRA,56669,39:21.2,56821,39:27.5,0.381244689,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_172
ISR_-_BRA_8-4,174,8 Lower,8 Upper,ISR,BRA,58004,40:16.8,58272,40:28.0,0.999946356,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_174
ISR_-_BRA_8-4,196,4 Upper,9 Lower,BRA,ISR,65437,45:26.5,65690,45:37.1,0.00149984,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_196
ISR_-_BRA_8-4,203,7 Upper,6 Lower,BRA,ISR,69777,48:27.4,69917,48:33.2,0.009171303,0.000982996,0.600058221,FALSE,ISR_-_BRA_8-4_203
ISR_-_BRA_8-4,215,6 Lower,8 Upper,ISR,BRA,73462,51:00.9,73576,51:05.7,0.999969244,0.000982996,0.600058221,TRUE,ISR_-_BRA_8-4_215
