epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6156,0.82894,0.53333,0.88985,0.86471,0.77697,0.87324,0.53042,1.42525,0.7946,1.08236,8.93617e-05,8.93617e-05,8.93617e-05
2,193.421,0.8591,0.50671,0.88351,0.89028,0.77216,0.8675,0.52522,1.44537,0.8147,1.082,0.000173443,0.000173443,0.000173443
3,287.335,0.9181,0.54007,0.888,0.83881,0.7903,0.86108,0.51216,1.45763,0.85253,1.09042,0.000251584,0.000251584,0.000251584
4,381.124,0.96791,0.55164,0.91239,0.82129,0.74884,0.82396,0.48364,1.47516,0.90465,1.08714,0.00024327,0.00024327,0.00024327
5,475.233,0.99602,0.57174,0.90634,0.80533,0.80543,0.8341,0.47701,1.49897,0.85995,1.11082,0.00023436,0.00023436,0.00023436
6,570.365,0.98884,0.55687,0.91387,0.85939,0.7751,0.83324,0.49221,1.46747,0.82114,1.09669,0.00022545,0.00022545,0.00022545
7,664.115,0.94354,0.54229,0.90123,0.86863,0.75878,0.86457,0.50843,1.50934,0.82704,1.11081,0.00021654,0.00021654,0.00021654
8,757.686,0.9516,0.53862,0.89384,0.89123,0.79775,0.85105,0.50003,1.47899,0.85079,1.09803,0.00020763,0.00020763,0.00020763
9,851.823,0.94403,0.54168,0.89918,0.82625,0.80276,0.84214,0.49352,1.52585,0.87684,1.10145,0.00019872,0.00019872,0.00019872
10,945.37,0.92523,0.50748,0.88971,0.86107,0.77092,0.86263,0.51048,1.50565,0.81146,1.09589,0.00018981,0.00018981,0.00018981
11,1039.32,0.88645,0.49174,0.88411,0.82462,0.7747,0.83652,0.4984,1.47447,0.84886,1.08863,0.0001809,0.0001809,0.0001809
12,1133.24,0.89326,0.49007,0.88008,0.87997,0.77105,0.8583,0.5133,1.44993,0.88765,1.07502,0.00017199,0.00017199,0.00017199
13,1227.84,0.90461,0.49505,0.89208,0.83831,0.82684,0.85199,0.51188,1.43796,0.82044,1.0694,0.00016308,0.00016308,0.00016308
14,1321.95,0.87466,0.47123,0.88166,0.88166,0.78392,0.86252,0.52121,1.46827,0.83515,1.08749,0.00015417,0.00015417,0.00015417
15,1415.77,0.84322,0.46292,0.86411,0.87565,0.78554,0.86631,0.52648,1.45387,0.85058,1.09003,0.00014526,0.00014526,0.00014526
16,1509.98,0.8375,0.45568,0.87696,0.82881,0.84427,0.86888,0.51801,1.47258,0.81802,1.0973,0.00013635,0.00013635,0.00013635
17,1603.78,0.83179,0.45073,0.87039,0.83864,0.81801,0.86441,0.52577,1.45038,0.82947,1.09124,0.00012744,0.00012744,0.00012744
18,1697.88,0.79337,0.42749,0.86242,0.89328,0.77426,0.86478,0.52557,1.46804,0.84243,1.10075,0.00011853,0.00011853,0.00011853
19,1792.34,0.78699,0.42677,0.85614,0.87025,0.79904,0.85577,0.52372,1.4464,0.84615,1.10666,0.00010962,0.00010962,0.00010962
20,1887.13,0.7561,0.41942,0.85974,0.86961,0.7907,0.85813,0.52961,1.43824,0.86738,1.10117,0.00010071,0.00010071,0.00010071
21,1983.55,0.78124,0.38955,0.84915,0.81478,0.83875,0.84797,0.51673,1.4415,0.856,1.10291,9.18e-05,9.18e-05,9.18e-05
22,2078.66,0.74666,0.38421,0.84602,0.89609,0.7741,0.86048,0.52685,1.45718,0.89597,1.10008,8.289e-05,8.289e-05,8.289e-05
23,2174.97,0.72663,0.36412,0.84331,0.8942,0.76794,0.84996,0.53765,1.44104,0.92888,1.0934,7.398e-05,7.398e-05,7.398e-05
24,2272.56,0.69463,0.35266,0.83286,0.85849,0.79336,0.86213,0.53708,1.44117,0.89044,1.09315,6.507e-05,6.507e-05,6.507e-05
25,2368.2,0.68178,0.34642,0.82681,0.84906,0.79171,0.86142,0.53566,1.44663,0.90813,1.0922,5.616e-05,5.616e-05,5.616e-05
26,2462.36,0.68363,0.3439,0.82717,0.87481,0.77371,0.85936,0.53269,1.44926,0.86364,1.09604,4.725e-05,4.725e-05,4.725e-05
27,2555.58,0.65844,0.33433,0.82307,0.87727,0.79722,0.86808,0.54373,1.43595,0.8715,1.09578,3.834e-05,3.834e-05,3.834e-05
28,2651.79,0.63776,0.33304,0.83025,0.87679,0.80818,0.86382,0.54444,1.4322,0.8742,1.09574,2.943e-05,2.943e-05,2.943e-05
29,2747.19,0.62757,0.32488,0.81835,0.86867,0.80185,0.87313,0.54419,1.44002,0.88215,1.09851,2.052e-05,2.052e-05,2.052e-05
30,2841.05,0.61777,0.32566,0.81785,0.87032,0.80104,0.86855,0.54499,1.43051,0.89738,1.09574,1.161e-05,1.161e-05,1.161e-05
